% Lin-ZIM System
% X = 0.2089, X' = 0.0446, T_0 = 0.0963, M = 0.0139, G_s = 4.1358, B_s = 2.8004, E_0 = 1.0750, δ_0 = -0.3689
% x0 = [1.0750, -0.3689, 364.381]
% u_0 = 1
% t, ΔP, ΔQ, ΔV
0.479,8.282832704594034,5.547121593176777,0.0165
0.48,8.282739120777466,5.547206225305315,0.0165
0.481,8.282630793659283,5.547278558046139,0.0165
0.482,8.282508501549234,5.547338969924362,0.0165
0.483,8.282373014429584,5.547387843950625,0.0165
0.484,8.282225093011395,5.547425566801746,0.0165
0.485,8.282065487844525,5.547452528028497,0.0165
0.486,8.281894938480614,5.547469119290722,0.0165
0.487,8.281714172688364,5.547475733619982,0.0165
0.488,8.281523905720233,5.547472764709821,0.0165
0.489,8.281324839629692,5.547460606233702,0.0165
0.49,8.281117662638174,5.547439651190672,0.0165
0.491,8.280903048550718,5.547410291278653,0.0165
0.492,8.280681656219267,5.547372916295338,0.0165
0.493,8.280454129052673,5.547327913566553,0.0165
0.494,8.280221094572273,5.547275667401907,0.0165
0.495,8.279983164011878,5.547216558577542,0.0165
0.496,8.279740931961166,5.54715096384575,0.0165
0.497,8.279494976051215,5.547079255471174,0.0165
0.498,8.27924585668099,5.547001800793287,0.0165
0.499,8.278994116783643,5.54691896181481,0.0165
0.5,8.278740281631329,5.546831094815722,0.0165
